,Original,TranslENtoEStoEN,MatchScore
90,To make matters worse,to make things worse,0.7317073170731707
91,Under the weather,under the weather,0.9411764705882353
92,We'll cross that bridge when we come to it,We'll cross that bridge when we get to it.,0.9285714285714286
93,Wrap your head around something,wrap your head around something,0.967741935483871
94,You can say that again,can you say that again,0.8181818181818182
95,Your guess is as good as mine,Your guest is as good as mine,0.9655172413793104
96,A bird in the hand is worth two in the bush,A bird in the hand is worth two in the bush,1.0
97,A penny for your thoughts,a penny for your thoughts,0.96
98,A penny saved is a penny earned,A penny saved is a penny earned,1.0
99,A perfect storm,a perfect storm,0.9333333333333333
100,A picture is worth 1000 words,A picture is worth 1000 words,1.0
101,Actions speak louder than words,Actions speak louder than words,1.0
102,Add insult to injury,Add salt to the wound,0.5853658536585366
103,Barking up the wrong tree,barking up the wrong tree,0.96
104,Birds of a feather flock together,Birds of a feather flock together,1.0
105,Bite off more than you can chew,Bite off more than you can chew,1.0
106,Break the ice,Break the ice,1.0
107,By the skin of your teeth,by the skin of his teeth,0.8163265306122449
108,Comparing apples to oranges,Comparing apples to oranges,1.0
109,Costs an arm and a leg,It costs an arm and a leg,0.8936170212765957
110,Do something at the drop of a hat,Do something in the blink of an eye,0.7058823529411765
111,Do unto others as you would have them do unto you,Do to others what you would like them to do to you,0.8282828282828283
112,Don't count your chickens before they hatch,Don't count your chickens before they hatch,1.0
113,Don't cry over spilt milk,Don't cry over spilled milk,0.9230769230769231
114,Don't give up your day job,Don't quit your day job,0.8163265306122449
115,Don't put all your eggs in one basket,Don't put all your eggs in one basket,1.0
116,Every cloud has a silver lining,Every cloud has a silver lining,1.0
117,Get a taste of your own medicine,taste your own medicine,0.8363636363636363
118,Give someone the cold shoulder,give someone cold,0.6808510638297872
119,Go on a wild goose chase,Go wild goose hunting,0.6666666666666666
120,Good things come to those who wait,Good things come to those who wait,1.0
121,He has bigger fish to fry,He has bigger fish to fry.,0.9803921568627451
122,He's a chip off the old block,He's a chip off the old block,1.0
123,Hit the nail on the head,Hit the nail on the head,1.0
124,Ignorance is bliss,ignorance is welcome,0.6842105263157895
125,It ain't over till the fat lady sings,It's not over until the fat lady sings,0.88
126,It takes one to know one,What does it take to know one,0.6792452830188679
127,It's a piece of cake,It's a piece of cake,1.0
128,It's raining cats and dogs,It's raining cats and dogs,1.0
129,Kill two birds with one stone,Two birds with one stone,0.8679245283018868
130,Let the cat out of the bag,Let the cat out of the bag,1.0
131,Live and learn,Live and learn,1.0
132,Look before you leap,look before you jump,0.8
133,On thin ice,on thin ice,0.9090909090909091
134,Once in a blue moon,once in a blue moon,0.9473684210526315
135,Play devil's advocate,Play devil's advocate,1.0
136,Put something on ice,put something on ice,0.95
137,Rain on someone's parade,Rain on someone's parade,1.0
138,Saving for a rainy day,Saving for a rainy day,1.0
139,Slow and steady wins the race,Slow and steady wins the race,1.0
140,Spill the beans,Spill the beans,1.0
141,Take a rain check,Take a rain check,1.0
142,Take it with a grain of salt,take it with a grain of salt,0.9642857142857143
143,The ball is in your court,The ball is on your roof,0.8163265306122449
144,The best thing since sliced bread,The best since sliced bread,0.9
145,The devil is in the details,The devil is in the details,1.0
146,The early bird gets the worm,The first AVE takes the worm,0.6428571428571429
147,The elephant in the room,the elephant in the room,0.9583333333333334
148,The whole nine yards,The whole nine yards,1.0
149,There are other fish in the sea,There are other fish in the sea,1.0
150,There's a method to his madness,There's a method to your madness,0.8888888888888888
151,There's no such thing as a free lunch,There is no such thing as a free lunch,0.96
152,Throw caution to the wind,Throw caution to the wind,1.0
153,You can't have your cake and eat it too,You can't have your cake and eat it too,1.0
154,You can't judge a book by its cover,You can't judge a book by its cover,1.0
